,loss,mae,root_mean_squared_error,R_squared,val_loss,val_mae,val_root_mean_squared_error,val_R_squared
6,183.6303253173828,8.869978904724121,13.551026344299316,0.7033855319023132,1098.671142578125,24.567180633544922,33.146209716796875,-0.8147778511047363
7,142.2917938232422,7.627761363983154,11.928611755371094,0.7662681937217712,297.0010986328125,10.616230964660645,17.233718872070312,0.5179997682571411
8,114.10037231445312,6.744544506072998,10.681777000427246,0.8137059211730957,122.3221664428711,6.9020304679870605,11.059934616088867,0.8016536831855774
9,96.23149871826172,6.16996431350708,9.809764862060547,0.8416911959648132,151.7144012451172,7.823275089263916,12.317239761352539,0.7501707077026367
10,86.41199493408203,5.811148643493652,9.295804977416992,0.8580630421638489,127.56824493408203,6.405416965484619,11.294610977172852,0.7942386269569397
11,74.05854034423828,5.351062297821045,8.605727195739746,0.8798368573188782,62.792110443115234,5.033799171447754,7.924147129058838,0.8964283466339111
12,69.24170684814453,5.16522216796875,8.321160316467285,0.88695228099823,447.2780456542969,12.171858787536621,21.148948669433594,0.2871732711791992
13,61.529319763183594,4.869556427001953,7.844062805175781,0.8962511420249939,59.25654220581055,4.948243141174316,7.697826862335205,0.9006876945495605
14,60.59999465942383,4.795387268066406,7.784599781036377,0.899323046207428,123.92787170410156,6.133688926696777,11.13228988647461,0.8028278350830078
15,51.18236541748047,4.460079669952393,7.154184818267822,0.9146208763122559,86.05546569824219,5.287291526794434,9.27660846710205,0.8615697026252747
16,46.90608596801758,4.303421974182129,6.848801612854004,0.9219934940338135,45.83457565307617,4.230007171630859,6.7701239585876465,0.9242270588874817
17,45.316429138183594,4.148553848266602,6.731747627258301,0.9259499311447144,175.59803771972656,6.68287467956543,13.251340866088867,0.7086951732635498
18,41.734405517578125,4.017862319946289,6.460216999053955,0.9300416111946106,40.034690856933594,4.00673246383667,6.327297210693359,0.9322696328163147
19,36.67716979980469,3.797720193862915,6.0561676025390625,0.9377402663230896,99.97955322265625,5.866806983947754,9.998977661132812,0.830507755279541
20,36.48136901855469,3.747771978378296,6.039980888366699,0.9397314786911011,55.67499923706055,4.331398010253906,7.4615678787231445,0.9084613919258118
21,34.01570129394531,3.606957197189331,5.8322978019714355,0.9432708024978638,41.34579849243164,3.7526113986968994,6.430069923400879,0.9320629239082336
22,30.401060104370117,3.431886672973633,5.513715744018555,0.9490476250648499,50.528602600097656,4.245654106140137,7.108347415924072,0.9153695702552795
23,30.818477630615234,3.448824405670166,5.55143928527832,0.9479037523269653,39.325645446777344,3.937089443206787,6.2710161209106445,0.9344302415847778
24,29.44191551208496,3.3665215969085693,5.4260406494140625,0.9506604671478271,43.579654693603516,3.839790105819702,6.6014885902404785,0.9276833534240723
25,26.887924194335938,3.2177412509918213,5.185356616973877,0.9545959234237671,52.203460693359375,4.338902473449707,7.225196361541748,0.9143644571304321
26,24.863346099853516,3.085151433944702,4.986315727233887,0.9591847658157349,51.2780647277832,4.077978134155273,7.16087007522583,0.9159020781517029
27,26.253889083862305,3.1416428089141846,5.123854637145996,0.9562695026397705,31.723405838012695,3.086940050125122,5.63235330581665,0.9478245377540588
28,25.661699295043945,3.053558588027954,5.065737724304199,0.9582217335700989,102.39118957519531,5.18565559387207,10.118852615356445,0.8387365937232971
29,23.093273162841797,2.9954628944396973,4.805545806884766,0.9614841341972351,39.396484375,3.6158862113952637,6.2766618728637695,0.9349525570869446
30,20.440963745117188,2.8275532722473145,4.521168231964111,0.9658657908439636,33.20518112182617,3.1584465503692627,5.762393474578857,0.9482490420341492
31,19.12776756286621,2.7471890449523926,4.373530387878418,0.9679707288742065,123.9862060546875,6.50465726852417,11.134909629821777,0.8031084537506104
32,19.392406463623047,2.7565088272094727,4.403680801391602,0.9675288200378418,67.64749908447266,4.799106597900391,8.224809646606445,0.8908789753913879
33,21.84954833984375,2.865586042404175,4.674349784851074,0.9633309245109558,24.46523666381836,2.9102189540863037,4.946234703063965,0.95809006690979
34,17.898454666137695,2.633236885070801,4.230656623840332,0.9699490070343018,44.980438232421875,3.8331642150878906,6.706745624542236,0.927155077457428
35,17.648902893066406,2.6325302124023438,4.201059818267822,0.970227062702179,31.370893478393555,2.9064278602600098,5.600972652435303,0.9484972357749939
36,16.506515502929688,2.5540103912353516,4.062820911407471,0.9727414846420288,21.064334869384766,2.6602370738983154,4.589589595794678,0.9654482007026672
37,17.70383071899414,2.5390758514404297,4.207592010498047,0.9709973931312561,180.21612548828125,6.582817554473877,13.424459457397461,0.710919976234436
38,11.837345123291016,2.2716403007507324,3.440544366836548,0.980048418045044,13.475542068481445,2.161647081375122,3.6709048748016357,0.977086067199707
39,17.801042556762695,2.5249032974243164,4.219128131866455,0.9699383974075317,23.484739303588867,2.6359446048736572,4.846105575561523,0.9613582491874695
40,15.548529624938965,2.419924736022949,3.943162441253662,0.9742158055305481,29.128799438476562,2.9406898021698,5.3971099853515625,0.9522876739501953
41,12.779340744018555,2.2663750648498535,3.5748202800750732,0.9788670539855957,37.70424270629883,3.111783742904663,6.140377998352051,0.9373118877410889
42,11.185373306274414,2.1631081104278564,3.344454050064087,0.9813334941864014,16.647981643676758,2.355302572250366,4.080193519592285,0.9724434018135071
43,18.045989990234375,2.547342538833618,4.248056888580322,0.9696561098098755,234.20159912109375,7.401304721832275,15.303646087646484,0.6391984820365906
44,12.604826927185059,2.2449610233306885,3.550327777862549,0.9787246584892273,38.71337890625,3.0482265949249268,6.222007751464844,0.9393367767333984
45,12.10718059539795,2.21272349357605,3.4795374870300293,0.9799729585647583,18.362110137939453,2.2796709537506104,4.2851033210754395,0.971463143825531
46,15.167994499206543,2.3365321159362793,3.89461088180542,0.9749314785003662,14.791470527648926,2.247032642364502,3.845968008041382,0.9764367341995239
47,12.393592834472656,2.1399383544921875,3.520453453063965,0.9792689085006714,94.91112518310547,4.6746296882629395,9.742234230041504,0.8513354659080505
48,10.372541427612305,2.0582022666931152,3.2206430435180664,0.9826716780662537,40.246421813964844,3.1631922721862793,6.344006538391113,0.9362306594848633
